UID,Name,2020-01-01_to_2020-01-31,2020-02-01_to_2020-02-29,2020-03-01_to_2020-03-31,2020-04-01_to_2020-04-30,2020-05-01_to_2020-05-31,2020-06-01_to_2020-06-30,2020-07-01_to_2020-07-31,2020-08-01_to_2020-08-31,2020-09-01_to_2020-09-30,2020-10-01_to_2020-10-31,2020-11-01_to_2020-11-30,2020-12-01_to_2020-12-31,2021-01-01_to_2021-01-31,2021-02-01_to_2021-02-28,2021-03-01_to_2021-03-31,2021-04-01_to_2021-04-30,2021-05-01_to_2021-05-31,2021-06-01_to_2021-06-30,2021-07-01_to_2021-07-31,2021-08-01_to_2021-08-31,2021-09-01_to_2021-09-30,2021-10-01_to_2021-10-31,2021-11-01_to_2021-11-30,2021-12-01_to_2021-12-31,2022-01-01_to_2022-01-31,2022-02-01_to_2022-02-28,2022-03-01_to_2022-03-31,2022-04-01_to_2022-04-30,2022-05-01_to_2022-05-31,2022-06-01_to_2022-06-30,2022-07-01_to_2022-07-31,2022-08-01_to_2022-08-31,2022-09-01_to_2022-09-30,2022-10-01_to_2022-10-31,2022-11-01_to_2022-11-30,2022-12-01_to_2022-12-31,2023-01-01_to_2023-01-31,2023-02-01_to_2023-02-28,2023-03-01_to_2023-03-31,2023-04-01_to_2023-04-30,2023-05-01_to_2023-05-31,2023-06-01_to_2023-06-30,2023-07-01_to_2023-07-31,2023-08-01_to_2023-08-31
55d3a1a802ac64350a000cde,Farm Heroes Saga,5180264.31,4982576.99,5779400.56,6848798.02,7144602.47,6412629.95,6391354.26,6141641.23,6049600.76,6577835.18,6028881.24,6742915.6,7473783.67,7128829.07,8291497.69,8544920.5,8083683.29,7837476.53,8914645.01,8444318.81,8139092.02,7627597.67,6890593.11,7269248.23,7086906.54,5924537.39,6521016.49,6611870.63,6282061.79,6005827.12,5809872.73,5542628.55,5067288.44,5090256.18,4898584.57,5319361.53,5923622.66,5642782.79,6330462.73,6374785.17,6398270.91,5860944.12,6031806.99,5881522.57
55bc18e6f8e9a7d9e90001f2,Angry Birds 2,4889239.02,4808891.17,5659507.92,6379801.98,6725295.29,5922680.84,6312820.45,5975293.36,5674645.25,5997034.13,5513509.86,6062523.99,5841620.61,5188620.11,6422302.99,6298918.77,6195132.4,5920409.74,6072451.25,6274730.28,5977056.38,6693980.26,6276814.29,6804753.58,6520727.86,6245810.44,6601668.29,6267065.68,6407594.42,5585199.6,6089740.04,5751842.6,5542594.78,5721811.35,5475857.07,6124692.13,5232817.49,5120841.88,5476921.36,5296342.23,5235040.81,5252185.66,5624351.42,5418347.25
55c525bf02ac64f9c0002a94,Tiki Solitaire TriPeaks,4732703.14,4685756.0,5246442.86,6277624.78,6644960.03,5992519.42,6202820.92,5820042.85,5546383.79,6312471.44,6018419.09,6491544.59,7532707.09,6435039.82,7949618.12,7866096.29,7958410.91,7945204.46,8042827.18,7722381.89,7274868.44,7506829.41,6526851.08,6904449.15,7152970.59,6487908.9,6923279.06,6414547.88,6204603.64,5803215.17,6139356.64,6142430.13,6014331.15,6199083.0,5772400.35,5882866.18,5973088.06,5509972.62,5935798.54,5593910.85,5440906.54,5184251.85,5210211.43,5211361.93
557108498e68f9f1400004e5,Clockmaker: Jewel Match 3 Game,4366983.56,4179042.29,4618614.17,5400548.54,5245286.08,4400582.44,4529749.75,4730820.75,4890918.41,4935169.69,4799696.8,5300538.15,6516700.62,5888067.08,6509458.42,6045327.36,5920389.12,5332541.6,5740777.63,6128148.3,5783811.83,6170307.36,5418049.36,5641181.58,5473492.4,4766422.6,4725695.99,4558566.82,4189344.29,3635061.6,3882130.43,3554403.94,3192050.76,3428284.78,3144861.75,3455656.36,3371986.92,3039040.0,3315696.14,3162476.75,3018535.12,3001255.16,3234731.33,3333961.29
55d20e3b02ac64ee7300005e,Tower of Saviors,4017728.26,4467935.28,2399581.33,2661482.71,2408791.37,3117387.78,1285284.57,3082258.3,2829999.47,3298708.71,2496606.31,2915069.22,2939808.72,4687570.85,1814883.41,2944539.82,1417515.45,3272460.59,2290477.8,1964756.74,2752368.39,1533727.7,2354176.11,2695829.92,2790568.48,3640109.36,2323791.01,811691.24,1403107.78,2237697.72,1887332.56,1856111.3,1422834.59,2393362.01,1945844.54,1736585.75,4037503.55,1567747.05,660956.08,2686323.71,1714309.45,1768482.36,1058631.95,3475549.8
55c513de02ac64f9c00025b3,Cookie Jam: Match 3 Games,3496864.68,3344904.4,3595662.72,3899067.16,3882690.34,3321676.2,3373848.12,3483699.21,3967716.82,3536497.06,3363664.79,3272711.24,3642462.51,3504813.68,3770742.04,3419504.35,3863126.86,3391881.32,3345114.21,3431082.54,3418016.35,3624770.41,3431242.42,3489367.74,3497719.68,3192552.22,3621510.32,2954046.05,2648437.49,2584915.37,2759484.56,2523667.4,2317260.67,2445766.35,2428844.4,2575739.26,2646283.57,2472828.23,2812375.67,2700487.31,2728588.53,2615310.57,2678853.34,2595973.78
572e371755b6d70837000111,Bubble Witch 3 Saga,3359941.77,3407062.38,3937690.65,4722158.16,5177145.68,4620521.66,4146993.53,3989893.88,3853551.43,3884438.89,3692652.66,3667891.53,4143374.96,3553862.9,3978896.39,3472196.71,3142313.6,2863228.46,2792139.89,2704334.04,2854350.16,3075079.46,2815681.28,2770648.29,2904975.7,2875454.15,3187117.23,2881225.92,2554441.77,2437905.41,2312259.73,2200926.6,2064733.03,2147228.32,1999567.04,1979797.46,2024795.17,1714428.42,1790369.72,1693995.1,1726742.17,1583052.65,1595740.87,1486731.19
5bb2f4d1a70de21a35e17174,Angry Birds Dream Blast,3342278.98,3049884.43,3246167.7,3674620.25,3404691.65,3163226.27,3298978.06,3441485.94,3270594.15,3505087.85,3322490.78,3203344.93,3551601.79,3020765.21,3683047.27,3506793.95,3551842.73,3125328.35,3283982.99,3401790.21,3415613.87,3715593.18,3453312.55,3609597.37,3381473.9,2997990.95,3075320.24,2967050.51,3005791.8,2814475.31,3148129.85,3524974.75,3626436.31,4117833.13,4160972.74,4977651.8,5241835.01,5131038.52,5972104.67,5399835.64,4889391.51,4531564.32,4935764.29,5201941.81
55c52bb402ac64f9c0002c65,Gummy Drop! Match 3 Puzzles,3198570.57,2894571.59,3069022.65,3126241.72,3043355.5,2733087.89,3101474.52,3035538.23,2971725.91,3135554.03,2834824.56,3205542.5,2995548.15,2649509.1,2900544.14,3074096.94,2920998.71,2692645.55,2767922.89,2749561.89,2965725.66,3244172.79,2886347.3,3378269.46,3170468.48,2842435.57,2908312.18,2594733.39,2460486.58,2375659.32,2538853.18,2527481.33,2513121.86,2577380.54,2460861.15,2942340.04,2702279.73,2428695.63,2806527.97,2783010.99,2678806.64,2543074.14,2647868.41,2575673.21
56d66e1c3d093bd6a9000151,WWE Champions,3034130.77,3020471.97,3327962.52,3951762.33,3609810.73,3431364.39,3377188.15,3270724.25,3190391.39,3370041.64,2953764.51,3485765.71,3201933.35,3119232.25,3601706.06,2798045.44,2787340.67,2705216.29,2597686.31,2700288.36,2577197.48,2896791.53,2428991.71,2649573.83,2173085.4,2252922.87,2392622.43,2276411.76,2113077.59,1930075.76,1860537.27,1788027.32,1823406.06,1974800.17,2021825.88,1942668.46,1783844.95,1755905.5,1945086.29,1848587.94,1772746.89,1562797.55,1704341.78,1679256.2
